,Class,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
1,0,1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4
2,0,5,1,1,1,11,30.88,0.38,2.67,11.58,82.35,0.01,4.57,3,0,0,0,4,3,7,4,1
3,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
4,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
5,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
6,0,12,1,1,1,19,63.12,0.29,3.5,18.03,220.91,0.02,12.27,8,0,2,0,5,5,12,7,1
7,0,5,1,1,1,11,30.88,0.38,2.67,11.58,82.35,0.01,4.57,3,0,0,0,4,3,7,4,1
8,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
9,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
10,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
11,0,13,1,1,1,29,110.41,0.27,3.75,29.44,414.05,0.04,23,9,0,2,0,6,8,19,10,1
12,0,12,1,1,1,19,63.12,0.29,3.5,18.03,220.91,0.02,12.27,8,0,2,0,5,5,12,7,1
13,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
14,0,12,1,1,1,19,63.12,0.29,3.5,18.03,220.91,0.02,12.27,8,0,2,0,5,5,12,7,1
15,0,4,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
16,0,13,1,1,1,27,102.8,0.14,7.33,14.02,753.86,0.03,41.88,8,0,2,0,8,6,16,11,1
17,0,16,3,3,2,43,188.87,0.1,10,18.89,1888.7,0.06,104.93,12,0,2,0,12,9,28,15,5
18,0,16,3,3,2,43,188.87,0.1,10,18.89,1888.7,0.06,104.93,12,0,2,0,12,9,28,15,5
19,0,16,3,3,2,43,188.87,0.1,10,18.89,1888.7,0.06,104.93,12,0,2,0,12,9,28,15,5
20,0,16,1,1,1,34,141.78,0.19,5.2,27.26,737.24,0.05,40.96,10,0,2,0,8,10,21,13,1
21,0,35,6,5,6,85,412.93,0.09,11.38,36.3,4697.06,0.14,260.95,26,1,6,0,13,16,57,28,11
22,0,14,2,1,2,30,122.62,0.17,5.78,21.22,708.49,0.04,39.36,10,0,1,0,8,9,17,13,3
23,0,40,4,1,4,103,484.15,0.06,15.86,30.53,7677.16,0.16,426.51,32,0,1,0,12,14,66,37,7
24,0,38,4,3,4,94,489.69,0.09,11.57,42.34,5663.36,0.16,314.63,27,3,3,0,14,23,56,38,7
25,0,26,2,1,2,66,289.89,0.1,10,28.99,2898.93,0.1,161.05,19,0,5,0,10,11,44,22,3
26,0,15,2,1,2,38,152,0.11,9.17,16.58,1393.33,0.05,77.41,12,0,1,0,10,6,27,11,3
27,0,21,1,1,1,52,208,0.1,10.29,20.22,2139.43,0.07,118.86,15,0,4,0,9,7,36,16,1
28,0,11,1,1,1,18,66.61,0.21,4.8,13.88,319.72,0.02,17.76,7,0,2,0,8,5,12,6,1
29,0,17,2,1,2,27,108,0.15,6.67,16.2,720,0.04,40,12,0,3,0,10,6,19,8,3
30,0,25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,132.33,21,0,2,0,11,10,41,17,5
31,0,56,10,9,10,155,824.9,0.06,17.67,46.69,14573.21,0.27,809.62,48,4,2,0,16,24,102,53,19
32,0,59,5,1,4,138,713.45,0.06,15.83,45.08,11291.12,0.24,627.28,49,4,4,0,13,23,82,56,9
33,0,120,12,5,11,315,1804.29,0.04,23.29,77.47,42021.08,0.6,2334.5,104,9,5,0,15,38,197,118,23
34,0,23,3,1,3,51,230.7,0.11,9.17,25.17,2114.77,0.08,117.49,19,1,1,0,11,12,31,20,5
35,0,23,3,1,3,51,230.7,0.11,9.17,25.17,2114.77,0.08,117.49,19,1,1,0,11,12,31,20,5
36,0,22,3,1,3,51,230.7,0.11,9.17,25.17,2114.77,0.08,117.49,18,1,1,0,11,12,31,20,5
37,0,31,2,1,2,104,529.1,0.13,7.74,68.36,4095.2,0.18,227.51,21,1,4,0,9,25,61,43,3
38,0,13,1,1,1,36,150.12,0.19,5.2,28.87,780.61,0.05,43.37,8,0,0,0,8,10,23,13,1
39,0,17,1,1,1,55,248.8,0.17,5.87,42.41,1459.6,0.08,81.09,11,0,0,0,8,15,33,22,1
40,0,32,4,1,4,156,841.2,0.08,12.33,68.24,10369.98,0.28,576.11,25,0,2,0,13,29,101,55,7
41,0,17,1,1,1,62,291.43,0.18,5.56,52.46,1619.04,0.1,89.95,12,0,0,0,8,18,37,25,1
42,0,74,7,1,6,177,948.29,0.04,24,39.51,22758.88,0.32,1264.38,60,6,6,0,16,25,102,75,13
43,0,23,3,1,3,42,171.67,0.1,10.08,17.03,1731.04,0.06,96.17,20,0,1,0,11,6,31,11,5
44,0,20,2,1,2,46,195.4,0.1,10.31,18.95,2015.11,0.07,111.95,16,0,2,0,11,8,31,15,3
45,0,13,2,1,2,29,107.31,0.11,9,11.92,965.81,0.04,53.66,10,0,1,0,9,4,21,8,3
46,0,30,2,1,2,82,348.33,0.09,11.7,29.77,4075.46,0.12,226.41,24,2,2,0,9,10,56,26,3
47,0,38,6,3,6,120,564.05,0.05,18.5,30.49,10434.98,0.19,579.72,34,0,2,0,13,13,83,37,11
48,0,55,5,1,5,137,658.61,0.04,23.65,27.84,15578.6,0.22,865.48,50,2,1,0,15,13,96,41,9
49,0,24,3,1,3,55,241.58,0.09,10.67,22.65,2576.83,0.08,143.16,21,0,1,0,12,9,39,16,5
50,0,36,9,9,9,102,485,0.06,16.88,28.74,8184.35,0.16,454.69,32,1,1,0,15,12,75,27,17
51,0,210,25,11,25,606,3820.09,0.03,32.93,115.99,125808.33,1.27,6989.35,179,11,17,0,19,60,398,208,49
52,0,7,1,1,1,13,44.97,0.33,3,14.99,134.92,0.01,7.5,4,0,1,0,6,5,8,5,1
53,0,8,1,1,1,12,39.86,0.4,2.5,15.95,99.66,0.01,5.54,3,0,1,0,5,5,7,5,1
54,0,23,2,1,2,66,294.32,0.08,13,22.64,3826.19,0.1,212.57,14,0,4,0,11,11,40,26,3
55,0,9,1,1,1,20,76.15,0.21,4.67,16.32,355.35,0.03,19.74,6,0,0,0,8,6,13,7,1
56,0,34,5,3,5,115,575,0.07,14.71,39.09,8458.55,0.19,469.92,28,0,2,0,13,19,72,43,9
57,0,9,1,1,1,19,72.34,0.25,4,18.08,289.36,0.02,16.07,4,0,2,0,7,7,11,8,1
58,0,63,11,5,11,163,842.7,0.05,19.29,43.7,16252.03,0.28,902.89,52,4,5,0,15,21,109,54,21
59,0,7,1,1,1,12,41.51,0.33,3,13.84,124.54,0.01,6.92,4,0,1,0,6,5,7,5,1
60,0,28,2,1,2,74,363.11,0.11,9.26,39.2,3363.54,0.12,186.86,21,0,3,0,11,19,42,32,3
61,0,14,1,1,1,26,104,0.17,5.79,17.98,601.71,0.03,33.43,9,1,2,0,9,7,17,9,1
62,0,29,4,1,4,81,380.74,0.11,9,42.3,3426.62,0.13,190.37,22,0,1,0,9,17,47,34,7
63,0,41,8,5,8,111,544.66,0.06,17,32.04,9259.3,0.18,514.4,34,1,4,0,15,15,77,34,15
64,0,18,1,1,1,50,200,0.1,10.29,19.44,2057.13,0.07,114.29,14,0,2,0,9,7,34,16,1
65,0,14,1,1,1,21,84,0.33,3,28,252,0.03,14,8,0,1,0,6,10,11,10,1
66,0,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1
67,0,11,1,1,1,17,64.73,0.33,3,21.58,194.18,0.02,10.79,6,0,1,0,6,8,9,8,1
68,0,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1
69,0,6,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,3,0,1,0,3,2,3,2,1
70,0,18,2,1,2,31,126.71,0.16,6.43,19.71,814.57,0.04,45.25,14,0,2,0,10,7,22,9,3
71,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,0,43,5,1,5,117,600.13,0.06,17,35.3,10202.14,0.2,566.79,36,0,2,1,14,21,66,51,9
73,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,0,8,1,1,1,5,11.61,2,0.5,23.22,5.8,0,0.32,6,0,0,0,1,4,1,4,1
75,0,10,1,1,1,5,11.61,2,0.5,23.22,5.8,0,0.32,6,0,0,0,1,4,1,4,1
76,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
77,0,5,1,1,1,7,18.09,1,1,18.09,18.09,0.01,1.01,2,0,0,0,2,4,3,4,1
78,0,7,1,1,1,12,36,0.4,2.5,14.4,90,0.01,5,5,0,1,0,4,4,7,5,1
79,0,3,1,1,1,7,18.09,1,1,18.09,18.09,0.01,1.01,2,0,0,0,2,4,3,4,1
